id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;tourney_size;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window
87;1.5;50;0.5;0.5;21;0;11;100000;[[2, 90], [2, 575], [1, 350], [1, 40], [2, 40], [1, 725], [2, 70], [2, 875], [2, 425], [2, 90], [1, 30], [1, 80], [1, 875], [2, 425], [1, 50], [2, 650], [1, 90], [1, 800], [2, 50], [1, 500], [1, 275], [1, 425], [2, 20], [2, 200], [2, 40], [1, 80], [2, 10], [1, 575], [2, 10], [1, 10], [2, 80], [2, 10], [2, 275], [2, 200], [2, 90], [2, 50], [2, 575], [2, 60], [1, 50], [1, 200], [2, 725], [2, 90], [2, 100], [1, 275], [1, 10], [1, 425], [1, 200], [2, 800], [1, 80], [2, 725]];3876.6197539817313;3935.5878338408793;[45, 30, 32, 29, 27, 4, 23, 15, 12, 49, 39, 11, 26, 17, 25, 5, 36, 19, 38, 7, 31, 35, 42, 1, 10, 43, 21, 47, 22, 44, 3, 40, 24, 34, 33, 6, 46, 20, 28, 18, 13, 9, 14, 37, 2, 16, 50, 41, 48, 8];3734;187;426;10000;200;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
88;1.5;50;0.5;0.5;21;0;11;100000;[[2, 90], [2, 575], [1, 350], [1, 40], [2, 40], [1, 725], [2, 70], [2, 875], [2, 425], [2, 90], [1, 30], [1, 80], [1, 875], [2, 425], [1, 50], [2, 650], [1, 90], [1, 800], [2, 50], [1, 500], [1, 275], [1, 425], [2, 20], [2, 200], [2, 40], [1, 80], [2, 10], [1, 575], [2, 10], [1, 10], [2, 80], [2, 10], [2, 275], [2, 200], [2, 90], [2, 50], [2, 575], [2, 60], [1, 50], [1, 200], [2, 725], [2, 90], [2, 100], [1, 275], [1, 10], [1, 425], [1, 200], [2, 800], [1, 80], [2, 725]];3876.6197539817313;3937.223669284057;[32, 27, 29, 9, 23, 39, 45, 15, 26, 4, 30, 49, 12, 11, 17, 25, 5, 19, 36, 38, 7, 31, 35, 10, 1, 42, 43, 44, 47, 46, 21, 3, 40, 34, 24, 33, 22, 20, 6, 18, 13, 28, 14, 2, 37, 16, 50, 41, 48, 8];5923;189;321;10000;200;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
89;1.5;50;0.5;0.5;22;0;11;100000;[[1, 875], [1, 10], [1, 575], [1, 70], [1, 425], [1, 200], [2, 575], [1, 725], [2, 10], [1, 575], [2, 80], [1, 20], [1, 500], [2, 200], [2, 90], [2, 80], [2, 60], [2, 60], [2, 650], [1, 100], [1, 875], [1, 575], [1, 90], [1, 575], [1, 90], [2, 30], [2, 80], [1, 875], [1, 30], [2, 800], [2, 10], [2, 80], [1, 30], [1, 20], [2, 60], [1, 800], [1, 70], [1, 40], [2, 80], [2, 800], [2, 100], [2, 425], [1, 10], [2, 575], [2, 90], [2, 200], [1, 500], [1, 30], [2, 275], [1, 425]];3593.7471744163026;3695.9484328344415;[31, 23, 33, 43, 34, 48, 12, 38, 26, 29, 9, 4, 2, 37, 25, 20, 35, 18, 27, 17, 39, 11, 32, 16, 15, 45, 41, 46, 5, 50, 6, 3, 14, 47, 13, 24, 22, 49, 8, 10, 21, 36, 28, 1, 42, 44, 7, 19, 40, 30];8390;308;377;10000;200;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
90;1.5;50;0.5;0.5;22;0;11;100000;[[1, 875], [1, 10], [1, 575], [1, 70], [1, 425], [1, 200], [2, 575], [1, 725], [2, 10], [1, 575], [2, 80], [1, 20], [1, 500], [2, 200], [2, 90], [2, 80], [2, 60], [2, 60], [2, 650], [1, 100], [1, 875], [1, 575], [1, 90], [1, 575], [1, 90], [2, 30], [2, 80], [1, 875], [1, 30], [2, 800], [2, 10], [2, 80], [1, 30], [1, 20], [2, 60], [1, 800], [1, 70], [1, 40], [2, 80], [2, 800], [2, 100], [2, 425], [1, 10], [2, 575], [2, 90], [2, 200], [1, 500], [1, 30], [2, 275], [1, 425]];3593.7471744163026;3696.3131373625156;[12, 33, 43, 9, 31, 34, 37, 25, 48, 29, 4, 20, 23, 26, 38, 2, 18, 35, 17, 32, 27, 11, 39, 16, 15, 45, 41, 46, 14, 50, 5, 6, 22, 49, 13, 47, 8, 10, 3, 24, 28, 36, 21, 1, 42, 44, 7, 19, 30, 40];3232;104;284;10000;200;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
91;1.5;50;0.5;0.5;22;0;11;100000;[[1, 875], [1, 10], [1, 575], [1, 70], [1, 425], [1, 200], [2, 575], [1, 725], [2, 10], [1, 575], [2, 80], [1, 20], [1, 500], [2, 200], [2, 90], [2, 80], [2, 60], [2, 60], [2, 650], [1, 100], [1, 875], [1, 575], [1, 90], [1, 575], [1, 90], [2, 30], [2, 80], [1, 875], [1, 30], [2, 800], [2, 10], [2, 80], [1, 30], [1, 20], [2, 60], [1, 800], [1, 70], [1, 40], [2, 80], [2, 800], [2, 100], [2, 425], [1, 10], [2, 575], [2, 90], [2, 200], [1, 500], [1, 30], [2, 275], [1, 425]];3593.7471744163026;3691.732293728102;[31, 9, 43, 34, 29, 4, 33, 2, 38, 48, 12, 26, 25, 37, 20, 17, 18, 35, 27, 32, 16, 11, 39, 45, 15, 41, 46, 14, 5, 50, 6, 24, 49, 13, 23, 47, 8, 22, 10, 3, 28, 36, 21, 1, 42, 44, 7, 19, 30, 40];10016;339;341;10000;200;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
92;1.5;50;0.5;0.5;22;0;11;100000;[[1, 875], [1, 10], [1, 575], [1, 70], [1, 425], [1, 200], [2, 575], [1, 725], [2, 10], [1, 575], [2, 80], [1, 20], [1, 500], [2, 200], [2, 90], [2, 80], [2, 60], [2, 60], [2, 650], [1, 100], [1, 875], [1, 575], [1, 90], [1, 575], [1, 90], [2, 30], [2, 80], [1, 875], [1, 30], [2, 800], [2, 10], [2, 80], [1, 30], [1, 20], [2, 60], [1, 800], [1, 70], [1, 40], [2, 80], [2, 800], [2, 100], [2, 425], [1, 10], [2, 575], [2, 90], [2, 200], [1, 500], [1, 30], [2, 275], [1, 425]];3593.7471744163026;3698.057309325703;[9, 31, 12, 43, 33, 34, 2, 25, 29, 38, 23, 26, 37, 4, 48, 17, 18, 35, 11, 27, 39, 32, 16, 45, 5, 15, 41, 50, 20, 14, 46, 13, 10, 47, 49, 3, 24, 8, 6, 22, 28, 36, 1, 21, 42, 44, 7, 19, 30, 40];6952;196;278;10000;200;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
93;1.5;50;0.5;0.5;23;0;11;100000;[[2, 30], [2, 20], [1, 575], [1, 800], [1, 500], [2, 60], [2, 275], [2, 80], [1, 200], [2, 10], [2, 800], [2, 575], [2, 80], [1, 10], [2, 350], [2, 725], [1, 275], [2, 70], [2, 40], [1, 500], [1, 50], [2, 350], [1, 50], [2, 20], [2, 100], [1, 425], [2, 10], [2, 50], [2, 650], [1, 60], [2, 200], [1, 70], [2, 50], [1, 50], [1, 875], [1, 650], [1, 275], [1, 80], [1, 40], [1, 875], [2, 500], [1, 500], [1, 800], [1, 90], [2, 425], [2, 425], [1, 50], [2, 725], [1, 575], [2, 80]];4929.08230201681;5037.407425973712;[27, 10, 24, 2, 34, 23, 14, 38, 1, 47, 39, 44, 30, 32, 21, 19, 33, 28, 6, 18, 8, 13, 50, 25, 31, 17, 26, 5, 9, 42, 37, 20, 36, 7, 3, 49, 15, 22, 40, 43, 35, 4, 45, 46, 41, 12, 29, 48, 16, 11];3970;127;318;10000;200;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
94;1.5;50;0.5;0.5;23;0;11;100000;[[2, 30], [2, 20], [1, 575], [1, 800], [1, 500], [2, 60], [2, 275], [2, 80], [1, 200], [2, 10], [2, 800], [2, 575], [2, 80], [1, 10], [2, 350], [2, 725], [1, 275], [2, 70], [2, 40], [1, 500], [1, 50], [2, 350], [1, 50], [2, 20], [2, 100], [1, 425], [2, 10], [2, 50], [2, 650], [1, 60], [2, 200], [1, 70], [2, 50], [1, 50], [1, 875], [1, 650], [1, 275], [1, 80], [1, 40], [1, 875], [2, 500], [1, 500], [1, 800], [1, 90], [2, 425], [2, 425], [1, 50], [2, 725], [1, 575], [2, 80]];4929.08230201681;5030.285873492638;[10, 27, 2, 24, 21, 39, 32, 23, 47, 30, 14, 34, 44, 1, 19, 28, 33, 6, 18, 50, 13, 8, 38, 9, 17, 25, 31, 42, 26, 20, 49, 3, 5, 37, 36, 7, 22, 15, 35, 4, 40, 43, 46, 45, 41, 12, 29, 16, 48, 11];3317;96;271;10000;200;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
95;1.5;50;0.5;0.5;23;0;11;100000;[[2, 30], [2, 20], [1, 575], [1, 800], [1, 500], [2, 60], [2, 275], [2, 80], [1, 200], [2, 10], [2, 800], [2, 575], [2, 80], [1, 10], [2, 350], [2, 725], [1, 275], [2, 70], [2, 40], [1, 500], [1, 50], [2, 350], [1, 50], [2, 20], [2, 100], [1, 425], [2, 10], [2, 50], [2, 650], [1, 60], [2, 200], [1, 70], [2, 50], [1, 50], [1, 875], [1, 650], [1, 275], [1, 80], [1, 40], [1, 875], [2, 500], [1, 500], [1, 800], [1, 90], [2, 425], [2, 425], [1, 50], [2, 725], [1, 575], [2, 80]];4929.08230201681;5039.998442412992;[10, 27, 2, 24, 39, 23, 34, 14, 32, 1, 47, 30, 38, 44, 19, 28, 33, 6, 18, 50, 8, 13, 25, 42, 26, 37, 9, 17, 3, 21, 31, 20, 36, 49, 5, 7, 15, 22, 43, 4, 35, 40, 45, 46, 41, 12, 29, 48, 16, 11];2061;68;298;10000;200;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
96;1.5;50;0.5;0.5;23;0;11;100000;[[2, 30], [2, 20], [1, 575], [1, 800], [1, 500], [2, 60], [2, 275], [2, 80], [1, 200], [2, 10], [2, 800], [2, 575], [2, 80], [1, 10], [2, 350], [2, 725], [1, 275], [2, 70], [2, 40], [1, 500], [1, 50], [2, 350], [1, 50], [2, 20], [2, 100], [1, 425], [2, 10], [2, 50], [2, 650], [1, 60], [2, 200], [1, 70], [2, 50], [1, 50], [1, 875], [1, 650], [1, 275], [1, 80], [1, 40], [1, 875], [2, 500], [1, 500], [1, 800], [1, 90], [2, 425], [2, 425], [1, 50], [2, 725], [1, 575], [2, 80]];4929.08230201681;5034.592393424893;[10, 27, 24, 2, 38, 32, 47, 14, 23, 21, 39, 30, 44, 1, 19, 28, 33, 6, 18, 50, 13, 25, 34, 9, 26, 17, 37, 31, 49, 20, 42, 5, 7, 22, 8, 15, 36, 3, 43, 4, 35, 40, 45, 46, 41, 12, 29, 48, 16, 11];5044;120;242;10000;200;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
97;1.5;50;0.5;0.5;24;0;11;100000;[[2, 100], [2, 60], [1, 650], [1, 100], [1, 725], [2, 70], [1, 575], [2, 90], [1, 425], [2, 20], [2, 650], [1, 60], [2, 90], [1, 40], [1, 60], [1, 100], [2, 10], [1, 350], [1, 60], [2, 725], [2, 80], [1, 800], [1, 70], [2, 90], [2, 10], [1, 725], [1, 275], [2, 500], [2, 70], [2, 60], [1, 40], [2, 200], [1, 425], [1, 275], [2, 875], [2, 60], [1, 40], [1, 60], [2, 30], [2, 275], [1, 575], [2, 275], [2, 60], [1, 70], [2, 100], [2, 275], [2, 90], [2, 60], [2, 70], [2, 200]];2126.9637620509725;2192.5099847648908;[17, 25, 10, 39, 37, 19, 14, 38, 44, 4, 12, 15, 31, 23, 36, 30, 48, 43, 2, 49, 6, 29, 21, 13, 47, 8, 24, 45, 1, 16, 34, 27, 9, 32, 50, 41, 3, 18, 33, 46, 40, 42, 7, 5, 26, 22, 28, 11, 20, 35];3815;119;309;10000;200;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
98;1.5;50;0.5;0.5;24;0;11;100000;[[2, 100], [2, 60], [1, 650], [1, 100], [1, 725], [2, 70], [1, 575], [2, 90], [1, 425], [2, 20], [2, 650], [1, 60], [2, 90], [1, 40], [1, 60], [1, 100], [2, 10], [1, 350], [1, 60], [2, 725], [2, 80], [1, 800], [1, 70], [2, 90], [2, 10], [1, 725], [1, 275], [2, 500], [2, 70], [2, 60], [1, 40], [2, 200], [1, 425], [1, 275], [2, 875], [2, 60], [1, 40], [1, 60], [2, 30], [2, 275], [1, 575], [2, 275], [2, 60], [1, 70], [2, 100], [2, 275], [2, 90], [2, 60], [2, 70], [2, 200]];2126.9637620509725;2195.3271190641094;[25, 17, 10, 39, 14, 37, 31, 23, 19, 44, 4, 16, 27, 15, 12, 36, 48, 43, 30, 2, 49, 29, 6, 21, 47, 13, 24, 8, 45, 1, 33, 18, 34, 38, 9, 32, 50, 40, 46, 42, 41, 7, 3, 5, 26, 22, 28, 11, 20, 35];8771;215;242;10000;200;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
99;1.5;50;0.5;0.5;24;0;11;100000;[[2, 100], [2, 60], [1, 650], [1, 100], [1, 725], [2, 70], [1, 575], [2, 90], [1, 425], [2, 20], [2, 650], [1, 60], [2, 90], [1, 40], [1, 60], [1, 100], [2, 10], [1, 350], [1, 60], [2, 725], [2, 80], [1, 800], [1, 70], [2, 90], [2, 10], [1, 725], [1, 275], [2, 500], [2, 70], [2, 60], [1, 40], [2, 200], [1, 425], [1, 275], [2, 875], [2, 60], [1, 40], [1, 60], [2, 30], [2, 275], [1, 575], [2, 275], [2, 60], [1, 70], [2, 100], [2, 275], [2, 90], [2, 60], [2, 70], [2, 200]];2126.9637620509725;2193.271431678063;[17, 37, 25, 10, 39, 38, 23, 12, 19, 4, 27, 14, 15, 35, 31, 44, 2, 36, 48, 30, 16, 43, 29, 6, 49, 21, 24, 47, 13, 8, 1, 45, 9, 18, 34, 33, 50, 32, 46, 40, 42, 41, 7, 5, 3, 22, 26, 28, 11, 20];5037;150;299;10000;200;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
100;1.5;50;0.5;0.5;24;0;11;100000;[[2, 100], [2, 60], [1, 650], [1, 100], [1, 725], [2, 70], [1, 575], [2, 90], [1, 425], [2, 20], [2, 650], [1, 60], [2, 90], [1, 40], [1, 60], [1, 100], [2, 10], [1, 350], [1, 60], [2, 725], [2, 80], [1, 800], [1, 70], [2, 90], [2, 10], [1, 725], [1, 275], [2, 500], [2, 70], [2, 60], [1, 40], [2, 200], [1, 425], [1, 275], [2, 875], [2, 60], [1, 40], [1, 60], [2, 30], [2, 275], [1, 575], [2, 275], [2, 60], [1, 70], [2, 100], [2, 275], [2, 90], [2, 60], [2, 70], [2, 200]];2126.9637620509725;2194.044111054133;[17, 25, 10, 39, 31, 38, 37, 14, 23, 34, 16, 12, 15, 19, 44, 48, 4, 30, 2, 36, 43, 49, 6, 29, 21, 13, 47, 24, 8, 1, 45, 9, 18, 27, 33, 50, 32, 40, 46, 42, 7, 41, 3, 26, 5, 22, 28, 11, 20, 35];1543;43;254;10000;200;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
