ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		    max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_1.0_11__8		3,21		1,78	0,69	0,00		1,30		0



ALPHA = 3.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		5,20		2,35	1,39	0,00		1,92		0
-1.0_0.0_11__2		4,28		2,10	0,27	0,00		1,09		0
-1.0_0.0_11__4		4,48		2,09	0,46	0,00		1,36		0
-1.0_0.0_11__6		4,56		2,16	1,07	0,00		1,52		0
-1.0_0.0_11__8		4,71		2,20	1,27	0,00		1,74		0
-1.0_0.3_11__10		7,62		4,20	2,42	0,00		3,12		0
-1.0_0.3_11__2		6,64		3,82	0,83	0,00		2,28		0
-1.0_0.3_11__4		6,85		3,68	1,78	0,00		2,73		0
-1.0_0.3_11__6		7,15		3,66	1,59	0,00		2,99		0
-1.0_0.3_11__8		6,74		4,01	1,96	0,00		2,81		0
-1.0_0.5_11__10		9,70		4,71	2,66	0,00		4,10		0
-1.0_0.5_11__2		8,28		4,33	1,03	0,00		2,94		0
-1.0_0.5_11__4		8,53		4,50	1,99	0,00		3,26		0
-1.0_0.5_11__6		8,29		4,54	1,86	0,00		3,29		0
-1.0_0.5_11__8		7,91		4,23	2,05	0,00		3,04		0
-1.0_0.7_11__10		9,21		4,34	2,26	0,00		3,34		0
-1.0_0.7_11__2		10,53		6,55	0,69	0,00		4,00		0
-1.0_0.7_11__4		10,27		5,75	2,12	0,00		3,86		0
-1.0_0.7_11__6		10,00		5,22	2,57	0,00		3,70		0
-1.0_0.7_11__8		9,69		4,71	2,18	0,00		3,76		0
-1.0_1.0_11__10		6,33		3,09	2,01	0,00		2,67		0
-1.0_1.0_11__2		5,45		3,35	1,13	0,00		1,88		0
-1.0_1.0_11__4		5,42		3,17	1,22	0,00		1,97		0
-1.0_1.0_11__6		5,58		3,00	1,45	0,00		2,16		0
-1.0_1.0_11__8		5,62		2,91	1,82	0,00		2,31		0



ALPHA = 3.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		2,36		0,98	0,42	0,00		0,68		0
-1.0_0.0_11__2		2,01		0,86	-0,14	-0,11		0,45		4
-1.0_0.0_11__4		2,44		1,38	0,15	0,00		0,78		0
-1.0_0.0_11__6		2,42		1,28	0,44	0,00		0,79		0
-1.0_0.0_11__8		2,53		1,18	0,66	0,00		0,92		0
-1.0_0.3_11__10		3,67		2,11	0,91	0,00		1,38		0
-1.0_0.3_11__2		3,03		1,82	-0,15	-0,15		0,88		1
-1.0_0.3_11__4		3,83		2,27	0,91	0,00		1,60		0
-1.0_0.3_11__6		3,96		2,13	1,26	0,00		1,74		0
-1.0_0.3_11__8		3,76		2,09	1,07	0,00		1,61		0
-1.0_0.5_11__10		4,25		1,94	0,83	0,00		1,42		0
-1.0_0.5_11__2		3,90		2,27	0,20	0,00		1,12		0
-1.0_0.5_11__4		4,64		2,65	0,89	0,00		1,84		0
-1.0_0.5_11__6		4,64		2,80	1,22	0,00		1,89		0
-1.0_0.5_11__8		4,63		2,57	1,27	0,00		1,95		0
-1.0_0.7_11__10		4,61		1,98	0,68	0,00		1,27		0
-1.0_0.7_11__2		4,76		2,30	0,07	0,00		1,35		0
-1.0_0.7_11__4		5,67		3,04	1,21	0,00		2,22		0
-1.0_0.7_11__6		5,64		3,54	1,60	0,00		2,19		0
-1.0_0.7_11__8		5,69		2,77	1,62	0,00		2,31		0
-1.0_1.0_11__10		2,84		1,33	0,33	0,00		0,98		0
-1.0_1.0_11__2		2,46		1,39	-0,19	-0,10		0,71		3
-1.0_1.0_11__4		2,82		1,70	0,46	0,00		1,01		0
-1.0_1.0_11__6		3,05		1,95	0,60	0,00		1,24		0
-1.0_1.0_11__8		2,99		1,59	0,81	0,00		1,18		0
