ALPHA = 1.5
JOBS COUNT = 50

block size|small| Ea1  | Da1  | Ea2  | Da2
2         | 1.0 | 51.10 | 0.00 | 5.77 | 0.85
4         | 1.0 | 25.67 | 0.00 | 5.00 | 0.25
6         | 1.0 | 17.23 | 0.00 | 5.10 | 0.10
8         | 1.0 | 13.03 | 0.00 | 5.08 | 0.07
10        | 1.0 | 10.63 | 0.00 | 5.50 | 0.07
avg       |     | 23,76 | 0,00 | 6,77 | 0,52


ALPHA = 2.5
JOBS COUNT = 100

block size|small| Ea1  | Da1  | Ea2  | Da2
-------------------------------------
2         | 0.0 | 50.52 | 0.00 | 2.22 | 0.06
4         | 0.0 | 25.31 | 0.00 | 2.34 | 0.06
6         | 0.0 | 16.92 | 0.00 | 2.33 | 0.05
8         | 0.0 | 12.73 | 0.00 | 2.39 | 0.02
10        | 0.0 | 10.24 | 0.00 | 2.34 | 0.02
2         | 0.3 | 50.68 | 0.00 | 3.31 | 0.24
4         | 0.3 | 25.42 | 0.00 | 3.55 | 0.23
6         | 0.3 | 17.03 | 0.00 | 3.59 | 0.12
8         | 0.3 | 12.83 | 0.00 | 3.54 | 0.12
10        | 0.3 | 10.35 | 0.00 | 3.47 | 0.04
2         | 0.5 | 50.85 | 0.00 | 4.12 | 0.26
4         | 0.5 | 25.55 | 0.00 | 4.50 | 0.42
6         | 0.5 | 17.12 | 0.00 | 4.38 | 0.12
8         | 0.5 | 12.94 | 0.00 | 4.39 | 0.12
10        | 0.5 | 10.46 | 0.00 | 4.03 | 0.08
2         | 0.7 | 51.08 | 0.00 | 5.14 | 0.47
4         | 0.7 | 25.70 | 0.00 | 5.43 | 0.30
6         | 0.7 | 17.27 | 0.00 | 5.29 | 0.22
8         | 0.7 | 13.08 | 0.00 | 5.13 | 0.13
10        | 0.7 | 10.60 | 0.00 | 4.47 | 0.10
2         | 1.0 | 50.57 | 0.00 | 2.58 | 0.15
4         | 1.0 | 25.34 | 0.00 | 2.76 | 0.15
6         | 1.0 | 16.95 | 0.00 | 2.72 | 0.14
8         | 1.0 | 12.76 | 0.00 | 2.80 | 0.03
10        | 1.0 | 10.27 | 0.00 | 2.86 | 0.01
avg       |     | 23,30 | 0,00 | 3,59 | 0,15


ALPHA = 3.0
JOBS COUNT = 50

block size|small| Ea1  | Da1  | Ea2  | Da2
-------------------------------------
2         | 0.0 | 51.06 | 0.00 | 4.41 | 0.25
4         | 0.0 | 25.60 | 0.00 | 4.19 | 0.14
6         | 0.0 | 17.14 | 0.00 | 4.20 | 0.06
8         | 0.0 | 12.93 | 0.00 | 4.12 | 0.07
10        | 0.0 | 10.47 | 0.00 | 4.49 | 0.03
2         | 0.3 | 51.36 | 0.00 | 6.62 | 1.12
4         | 0.3 | 25.82 | 0.00 | 6.60 | 0.47
6         | 0.3 | 17.33 | 0.00 | 6.39 | 0.25
8         | 0.3 | 13.12 | 0.00 | 6.03 | 0.45
10        | 0.3 | 10.69 | 0.00 | 6.42 | 0.25
2         | 0.5 | 51.74 | 0.02 | 8.78 | 2.30
4         | 0.5 | 25.99 | 0.00 | 7.80 | 1.08
6         | 0.5 | 17.51 | 0.00 | 7.57 | 0.72
8         | 0.5 | 13.26 | 0.00 | 6.95 | 0.28
10        | 0.5 | 10.88 | 0.00 | 8.03 | 0.20
2         | 0.7 | 52.09 | 0.02 | 10.59| 3.28
4         | 0.7 | 26.31 | 0.01 | 9.79 | 1.06
6         | 0.7 | 17.74 | 0.01 | 9.07 | 1.56
8         | 0.7 | 13.49 | 0.01 | 8.65 | 0.59
10        | 0.7 | 11.00 | 0.01 | 7.58 | 0.45
2         | 1.0 | 51.17 | 0.00 | 5.31 | 0.61
4         | 1.0 | 25.67 | 0.00 | 5.13 | 0.26
6         | 1.0 | 17.20 | 0.00 | 4.93 | 0.13
8         | 1.0 | 12.99 | 0.00 | 4.97 | 0.12
10        | 1.0 | 10.54 | 0.00 | 5.40 | 0.10
avg       |     | 23,72 | 0,00 | 6,56 | 0,63


ALPHA = 3.0
JOBS COUNT = 100

block size|small| Ea1  | Da1  | Ea2  | Da2
-------------------------------------
2         | 0.0 | 50.54 | 0.00 | 2.04 | 0.13
4         | 0.0 | 25.31 | 0.00 | 2.23 | 0.06
6         | 0.0 | 16.90 | 0.00 | 2.18 | 0.06
8         | 0.0 | 12.71 | 0.00 | 2.20 | 0.03
10        | 0.0 | 10.21 | 0.00 | 2.23 | 0.04
2         | 0.3 | 50.72 | 0.00 | 3.09 | 0.12
4         | 0.3 | 25.42 | 0.00 | 3.48 | 0.20
6         | 0.3 | 17.00 | 0.00 | 3.45 | 0.09
8         | 0.3 | 12.79 | 0.00 | 3.41 | 0.07
10        | 0.3 | 10.30 | 0.00 | 3.43 | 0.08
2         | 0.5 | 50.89 | 0.00 | 4.03 | 0.23
4         | 0.5 | 25.53 | 0.00 | 4.27 | 0.22
6         | 0.5 | 17.09 | 0.00 | 4.07 | 0.25
8         | 0.5 | 12.89 | 0.00 | 4.26 | 0.18
10        | 0.5 | 10.42 | 0.00 | 4.14 | 0.09
2         | 0.7 | 51.13 | 0.00 | 4.80 | 0.37
4         | 0.7 | 25.66 | 0.00 | 5.00 | 0.38
6         | 0.7 | 17.22 | 0.00 | 5.05 | 0.29
8         | 0.7 | 13.01 | 0.00 | 5.10 | 0.14
10        | 0.7 | 10.52 | 0.00 | 4.29 | 0.11
2         | 1.0 | 50.60 | 0.00 | 2.60 | 0.14
4         | 1.0 | 25.34 | 0.00 | 2.75 | 0.14
6         | 1.0 | 16.93 | 0.00 | 2.67 | 0.09
8         | 1.0 | 12.74 | 0.00 | 2.60 | 0.04
10        | 1.0 | 10.24 | 0.00 | 2.70 | 0.06
avg       |     | 23,28 | 0,00 | 3,44 | 0,14
