ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.3_21__4		25,86		20,82	18,88	0,00		20,06		0
-1.0_0.3_21__6		17,50		12,63	11,25	0,00		12,14		0
-1.0_0.3_21__8		13,34		8,77	7,54	0,00		8,30		0
-1.0_0.5_21__10		11,44		5,52	2,78	0,00		4,29		0
-1.0_0.5_21__2		51,66		43,53	39,65	0,00		42,07		0
-1.0_0.5_21__4		26,21		19,60	15,64	0,00		18,46		0
-1.0_0.5_21__6		17,81		11,68	10,15	0,00		10,88		0
-1.0_0.5_21__8		13,63		8,21	6,45	0,00		7,28		0
-1.0_0.7_21__10		11,93		7,20	2,22	0,00		3,05		0
-1.0_0.7_21__2		52,30		41,63	36,54	0,00		39,22		0
-1.0_0.7_21__4		26,71		19,12	13,02	0,00		16,40		0
-1.0_0.7_21__6		18,33		10,91	7,35	0,00		9,04		0
-1.0_0.7_21__8		14,14		6,95	3,50	0,00		5,67		0
-1.0_1.0_21__10		10,53		7,24	7,16	0,00		7,20		0
-1.0_1.0_21__2		50,77		46,30	46,16	0,00		46,23		0
-1.0_1.0_21__4		25,50		21,91	21,78	0,00		21,83		0
-1.0_1.0_21__6		17,12		13,85	13,73	0,00		13,81		0
-1.0_1.0_21__8		12,95		9,88	9,80	0,00		9,84		0



ALPHA = 2.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,30		8,27	8,07	0,00		8,19		0
-1.0_0.0_21__2		50,48		47,75	47,60	0,00		47,65		0
-1.0_0.0_21__4		25,31		23,02	22,90	0,00		22,96		0
-1.0_0.0_21__6		16,94		14,86	14,69	0,00		14,76		0
-1.0_0.0_21__8		12,77		10,78	10,63	0,00		10,70		0
-1.0_0.3_21__10		10,47		7,75	6,96	0,00		7,46		0
-1.0_0.3_21__2		50,66		47,07	46,40	0,00		46,76		0
-1.0_0.3_21__4		25,45		22,51	21,81	0,00		22,14		0
-1.0_0.3_21__6		17,06		14,39	13,88	0,00		14,12		0
-1.0_0.3_21__8		12,91		10,19	9,75	0,00		10,03		0
-1.0_0.5_21__10		10,65		7,14	5,72	0,00		6,78		0
-1.0_0.5_21__2		50,87		46,44	45,01	0,00		45,74		0
-1.0_0.5_21__4		25,61		21,95	20,72	0,00		21,29		0
-1.0_0.5_21__6		17,24		13,81	12,91	0,00		13,28		0
-1.0_0.5_21__8		13,09		9,68	8,59	0,00		9,28		0
-1.0_0.7_21__10		11,07		6,09	4,84	0,00		5,47		0
-1.0_0.7_21__2		51,29		44,94	42,42	0,00		43,77		0
-1.0_0.7_21__4		25,95		20,62	18,65	0,00		19,68		0
-1.0_0.7_21__6		17,56		12,80	11,03	0,00		11,95		0
-1.0_0.7_21__8		13,45		8,82	6,55	0,00		7,96		0
-1.0_1.0_21__10		10,23		8,49	8,43	0,00		8,47		0
-1.0_1.0_21__2		50,41		48,04	47,96	0,00		48,00		0
-1.0_1.0_21__4		25,26		23,28	23,23	0,00		23,25		0
-1.0_1.0_21__6		16,89		15,09	15,02	0,00		15,05		0
-1.0_1.0_21__8		12,72		10,99	10,95	0,00		10,97		0



ALPHA = 2.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,54		7,02	6,78	0,00		6,91		0
-1.0_0.0_21__2		50,99		46,40	46,03	0,00		46,13		0
-1.0_0.0_21__4		25,60		21,77	21,48	0,00		21,64		0
-1.0_0.0_21__6		17,17		13,79	13,38	0,00		13,57		0
-1.0_0.0_21__8		12,97		9,71	9,50	0,00		9,61		0
-1.0_0.3_21__10		10,84		6,29	4,46	0,00		5,71		0
-1.0_0.3_21__2		51,38		45,51	43,78	0,00		44,68		0
-1.0_0.3_21__4		25,87		20,94	19,78	0,00		20,39		0
-1.0_0.3_21__6		17,42		13,33	11,59	0,00		12,42		0
-1.0_0.3_21__8		13,19		9,02	8,05	0,00		8,63		0
-1.0_0.5_21__10		11,17		5,53	3,83	0,00		4,59		0
-1.0_0.5_21__2		51,83		44,56	41,91	0,00		43,02		0
-1.0_0.5_21__4		26,15		20,22	17,57	0,00		19,14		0
-1.0_0.5_21__6		17,67		12,09	10,24	0,00		11,36		0
-1.0_0.5_21__8		13,46		8,28	6,12	0,00		7,56		0
-1.0_0.7_21__10		11,60		4,35	2,58	0,00		3,27		0
-1.0_0.7_21__2		52,54		42,18	38,37	0,00		40,46		0
-1.0_0.7_21__4		26,68		19,18	14,98	0,00		16,98		0
-1.0_0.7_21__6		18,15		11,02	7,96	0,00		9,50		0
-1.0_0.7_21__8		13,89		7,43	4,46	0,00		6,02		0
-1.0_1.0_21__10		10,43		7,42	7,27	0,00		7,35		0
-1.0_1.0_21__2		50,86		46,74	46,57	0,00		46,65		0
-1.0_1.0_21__4		25,50		22,18	22,08	0,00		22,12		0
-1.0_1.0_21__6		17,08		14,08	13,97	0,00		14,02		0
-1.0_1.0_21__8		12,88		10,09	9,97	0,00		10,02		0



ALPHA = 2.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,24		8,40	8,26	0,00		8,33		0
-1.0_0.0_21__2		50,52		48,03	47,87	0,00		47,95		0
-1.0_0.0_21__4		25,31		23,23	23,08	0,00		23,16		0
-1.0_0.0_21__6		16,92		14,99	14,88	0,00		14,94		0
-1.0_0.0_21__8		12,73		10,91	10,76	0,00		10,85		0
-1.0_0.3_21__10		10,36		8,04	7,39	0,00		7,70		0
-1.0_0.3_21__2		50,72		47,53	46,85	0,00		47,17		0
-1.0_0.3_21__4		25,43		22,77	22,30	0,00		22,49		0
-1.0_0.3_21__6		17,03		14,56	14,01	0,00		14,30		0
-1.0_0.3_21__8		12,84		10,45	9,73	0,00		10,24		0
-1.0_0.5_21__10		10,53		7,37	6,56	0,00		6,98		0
-1.0_0.5_21__2		51,00		46,69	44,94	0,00		46,11		0
-1.0_0.5_21__4		25,58		22,18	21,14	0,00		21,73		0
-1.0_0.5_21__6		17,18		14,05	13,17	0,00		13,56		0
-1.0_0.5_21__8		13,01		10,02	8,91	0,00		9,45		0
-1.0_0.7_21__10		10,85		6,28	4,62	0,00		5,78		0
-1.0_0.7_21__2		51,42		45,52	43,50	0,00		44,52		0
-1.0_0.7_21__4		25,95		20,89	18,62	0,00		20,05		0
-1.0_0.7_21__6		17,47		12,95	11,52	0,00		12,26		0
-1.0_0.7_21__8		13,29		9,13	7,74	0,00		8,29		0
-1.0_1.0_21__10		10,19		8,61	8,55	0,00		8,58		0
-1.0_1.0_21__2		50,44		48,28	48,22	0,00		48,25		0
-1.0_1.0_21__4		25,26		23,46	23,40	0,00		23,43		0
-1.0_1.0_21__6		16,87		15,22	15,16	0,00		15,19		0
-1.0_1.0_21__8		12,69		11,11	11,08	0,00		11,09		0



ALPHA = 3.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,47		7,24	6,86	0,00		7,02		0
-1.0_0.0_21__2		51,05		46,58	46,26	0,00		46,43		0
-1.0_0.0_21__4		25,60		21,99	21,69	0,00		21,85		0
-1.0_0.0_21__6		17,14		13,82	13,58	0,00		13,74		0
-1.0_0.0_21__8		12,93		9,84	9,57	0,00		9,73		0
-1.0_0.3_21__10		10,73		6,63	4,60	0,00		5,87		0
-1.0_0.3_21__2		51,48		45,79	43,74	0,00		44,99		0
-1.0_0.3_21__4		25,83		21,48	19,68	0,00		20,77		0
-1.0_0.3_21__6		17,37		13,08	12,01	0,00		12,62		0
-1.0_0.3_21__8		13,12		9,35	8,21	0,00		8,79		0
-1.0_0.5_21__10		11,05		5,57	3,84	0,00		4,61		0
-1.0_0.5_21__2		51,94		44,97	41,93	0,00		43,53		0
-1.0_0.5_21__4		26,19		20,28	17,20	0,00		19,25		0
-1.0_0.5_21__6		17,60		12,59	10,20	0,00		11,60		0
-1.0_0.5_21__8		13,36		8,93	6,11	0,00		7,73		0
-1.0_0.7_21__10		11,40		7,47	2,60	0,00		3,44		0
-1.0_0.7_21__2		52,70		43,24	39,19	0,00		41,11		0
-1.0_0.7_21__4		26,70		19,35	15,19	0,00		17,25		0
-1.0_0.7_21__6		18,06		10,85	7,93	0,00		9,73		0
-1.0_0.7_21__8		13,73		7,58	4,24	0,00		6,29		0
-1.0_1.0_21__10		10,37		7,53	7,43	0,00		7,46		0
-1.0_1.0_21__2		50,90		46,96	46,85	0,00		46,90		0
-1.0_1.0_21__4		25,50		22,35	22,24	0,00		22,29		0
-1.0_1.0_21__6		17,06		14,23	14,09	0,00		14,15		0
-1.0_1.0_21__8		12,85		10,17	10,08	0,00		10,13		0



ALPHA = 3.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,21		8,48	8,34	0,00		8,41		0
-1.0_0.0_21__2		50,54		48,21	48,06	0,00		48,13		0
-1.0_0.0_21__4		25,31		23,34	23,23	0,00		23,28		0
-1.0_0.0_21__6		16,90		15,10	14,97	0,00		15,04		0
-1.0_0.0_21__8		12,71		10,99	10,84	0,00		10,93		0
-1.0_0.3_21__10		10,33		7,96	7,18	0,00		7,75		0
-1.0_0.3_21__2		50,75		47,65	47,08	0,00		47,41		0
-1.0_0.3_21__4		25,44		22,78	22,39	0,00		22,60		0
-1.0_0.3_21__6		17,02		14,62	13,95	0,00		14,39		0
-1.0_0.3_21__8		12,81		10,56	10,07	0,00		10,36		0
-1.0_0.5_21__10		10,47		7,59	6,60	0,00		7,06		0
-1.0_0.5_21__2		51,04		47,12	45,85	0,00		46,46		0
-1.0_0.5_21__4		25,60		22,44	21,26	0,00		21,82		0
-1.0_0.5_21__6		17,15		14,22	13,00	0,00		13,70		0
-1.0_0.5_21__8		12,93		9,96	9,23	0,00		9,71		0
-1.0_0.7_21__10		10,72		6,76	5,36	0,00		6,00		0
-1.0_0.7_21__2		51,44		45,93	44,32	0,00		45,13		0
-1.0_0.7_21__4		25,89		21,37	19,67	0,00		20,55		0
-1.0_0.7_21__6		17,41		13,21	11,01	0,00		12,49		0
-1.0_0.7_21__8		13,19		9,22	7,88	0,00		8,53		0
-1.0_1.0_21__10		10,17		8,67	8,62	0,00		8,65		0
-1.0_1.0_21__2		50,47		48,41	48,37	0,00		48,39		0
-1.0_1.0_21__4		25,26		23,56	23,51	0,00		23,53		0
-1.0_1.0_21__6		16,86		15,31	15,25	0,00		15,28		0
-1.0_1.0_21__8		12,67		11,18	11,14	0,00		11,16		0
