ALPHA = 1.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.7_12_6		17,62	0,01	0,08
-1.0_0.7_12_8		13,35	0,01	0,09
-1.0_1.0_12_10		10,53	0,00	0,02
-1.0_1.0_12_2		51,16	0,00	0,03
-1.0_1.0_12_4		25,66	0,00	0,02
-1.0_1.0_12_6		17,21	0,00	0,02
-1.0_1.0_12_8		12,98	0,00	0,02



ALPHA = 3.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_12_10		10,15	0,00	0,00
-1.0_0.0_12_2		50,43	0,00	0,00
-1.0_0.0_12_4		25,24	0,00	0,00
-1.0_0.0_12_6		16,84	0,00	0,00
-1.0_0.0_12_8		12,65	0,00	0,00
-1.0_0.3_12_10		10,24	0,00	0,01
-1.0_0.3_12_2		50,58	0,00	0,02
-1.0_0.3_12_4		25,34	0,00	0,01
-1.0_0.3_12_6		16,92	0,00	0,01
-1.0_0.3_12_8		12,72	0,00	0,01
-1.0_0.5_12_10		10,32	0,00	0,02
-1.0_0.5_12_2		50,77	0,00	0,03
-1.0_0.5_12_4		25,44	0,00	0,02
-1.0_0.5_12_6		17,01	0,00	0,02
-1.0_0.5_12_8		12,80	0,00	0,01
-1.0_0.7_12_10		10,46	0,00	0,03
-1.0_0.7_12_2		51,00	0,00	0,03
-1.0_0.7_12_4		25,59	0,00	0,03
-1.0_0.7_12_6		17,15	0,00	0,03
-1.0_0.7_12_8		12,94	0,00	0,03
-1.0_1.0_12_10		10,24	0,00	0,01
-1.0_1.0_12_2		50,60	0,00	0,01
-1.0_1.0_12_4		25,34	0,00	0,01
-1.0_1.0_12_6		16,93	0,00	0,01
-1.0_1.0_12_8		12,74	0,00	0,01
