ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.5_12__10		10,32		8,10	7,53	0,00		7,75		0
-1.0_0.5_12__2		50,77		47,77	47,01	0,00		47,36		0
-1.0_0.5_12__4		25,44		22,95	22,30	0,00		22,61		0
-1.0_0.5_12__6		17,01		14,73	13,97	0,00		14,39		0
-1.0_0.5_12__8		12,80		10,51	10,05	0,00		10,37		0
-1.0_0.7_12__10		10,46		7,55	6,81	0,00		7,11		0
-1.0_0.7_12__2		51,00		46,99	46,25	0,00		46,59		0
-1.0_0.7_12__4		25,59		22,36	21,39	0,00		21,89		0
-1.0_0.7_12__6		17,15		14,06	13,07	0,00		13,73		0
-1.0_0.7_12__8		12,94		10,03	9,39	0,00		9,68		0
-1.0_1.0_12__10		10,24		8,34	8,13	0,00		8,24		0
-1.0_1.0_12__2		50,60		48,02	47,79	0,00		47,92		0
-1.0_1.0_12__4		25,34		23,25	22,98	0,00		23,13		0
-1.0_1.0_12__6		16,93		15,04	14,71	0,00		14,88		0
-1.0_1.0_12__8		12,74		10,86	10,66	0,00		10,76		0
